rho,eta,year,ssp,discount_factor
0.0,1,2178,SSP1,0.06938736531089036
0.0,1,2178,SSP2,0.08994145325434748
0.0,1,2178,SSP3,0.43576824686324445
0.0,1,2178,SSP4,0.274833566937253
0.0,1,2178,SSP5,0.026743825252730884
0.0,1,2179,SSP1,0.06843203127790226
0.0,1,2179,SSP2,0.088697403432919
0.0,1,2179,SSP3,0.4338646402083601
0.0,1,2179,SSP4,0.27319225679641157
0.0,1,2179,SSP5,0.026217352406368254
0.0,1,2180,SSP1,0.0674898504048662
0.0,1,2180,SSP2,0.0874705610270058
0.0,1,2180,SSP3,0.4319693492541323
0.0,1,2180,SSP4,0.2715607485840916
0.0,1,2180,SSP5,0.025701243584423893
0.0,1,2181,SSP1,0.06656064159741024
0.0,1,2181,SSP2,0.08626068802753172
0.0,1,2181,SSP3,0.4300823376743182
0.0,1,2181,SSP4,0.26993898376303055
0.0,1,2181,SSP5,0.025195294763076085
0.0,1,2182,SSP1,0.06564422625449262
0.0,1,2182,SSP2,0.08506754971750823
0.0,1,2182,SSP3,0.42820356930136244
0.0,1,2182,SSP4,0.2683269041455511
0.0,1,2182,SSP5,0.024699305934869558
0.0,1,2183,SSP1,0.0647404282340734
0.0,1,2183,SSP2,0.08389091462649907
0.0,1,2183,SSP3,0.4263330081257036
0.0,1,2183,SSP4,0.26672445189147387
0.0,1,2183,SSP5,0.024213081029650203
0.0,1,2184,SSP1,0.06384907381925854
0.0,1,2184,SSP2,0.08273055448571467
0.0,1,2184,SSP3,0.4244706182950843
0.0,1,2184,SSP4,0.26513156950604166
0.0,1,2184,SSP5,0.02373642783705625
0.0,1,2185,SSP1,0.06296999168491017
0.0,1,2185,SSP2,0.08158624418372766
0.0,1,2185,SSP3,0.4226163641138636
0.0,1,2185,SSP4,0.2635481998378569
0.0,1,2185,SSP5,0.0232691579305353
0.0,1,2186,SSP1,0.06210301286471665
0.0,1,2186,SSP2,0.08045776172280099
0.0,1,2186,SSP3,0.4207702100423334
0.0,1,2186,SSP4,0.26197428607683093
0.0,1,2186,SSP5,0.0228110865928571
0.0,1,2187,SSP1,0.061247970718715905
0.0,1,2187,SSP2,0.07934488817582004
0.0,1,2187,SSP3,0.4189321206960368
0.0,1,2187,SSP4,0.2604097717521459
0.0,1,2187,SSP5,0.022362032743092678
0.0,1,2188,SSP1,0.06040470090126595
0.0,1,2188,SSP2,0.0782474076438205
0.0,1,2188,SSP3,0.4171020608450903
0.0,1,2188,SSP4,0.25885460073022853
0.0,1,2188,SSP5,0.02192181886503093
0.0,1,2189,SSP1,0.05957304132945642
0.0,1,2189,SSP2,0.07716510721410368
0.0,1,2189,SSP3,0.41527999541350813
